32676	13644	12894	2999	19950	7347	12184	31482	18320	25808	5753	28144	18472	26069	23867	17782	8817	1960	27645	10688
31776	15926	30662	2380	8459	8202	3783	1044	4496	19230	14816	5896	20533	3057	22374	7099	12940	31449	4900	28765
14682	923	8095	23529	13303	2873	5279	671	13048	10251	5866	32437	3596	8209	11603	29002	292	8584	26355	8091
9431	27067	14007	28793	17924	19996	10267	24059	24761	23443	20788	12144	16979	22	9716	3991	5863	29306	4266	21267
26081	19593	29640	793	16875	2900	30953	108	12305	27083	20754	21131	2594	18826	19000	30504	24665	7670	24067	17885
7740	3465	7634	15387	30405	15722	8191	17763	23488	31553	21092	21432	1140	14665	22046	23636	18309	4263	18576	3226
19481	15866	7595	19276	22074	19507	28525	23038	12924	24999	26280	10954	1247	25442	8453	15942	32502	25278	14408	7603
16713	2357	20182	17783	27641	30324	17780	5070	8866	17584	32337	4028	1925	10045	20807	7238	29159	22365	5470	27617
25524	17238	25490	18475	616	13255	30422	473	5935	23355	19800	7408	23115	1023	28423	3385	3511	20529	32083	5870
11018	16410	28723	10170	10397	29374	9325	15329	6640	21680	7954	9146	12106	12587	10823	15718	22688	22879	12107	30396
4024	22025	29110	11139	3471	22342	4095	13284	28407	22185	27969	14110	3204	8075	26687	5756	2473	12706	933	1157
24351	12758	25489	7282	25734	23887	17489	3557	7503	13011	20079	12503	19673	17999	27626	5586	5594	29363	711	26209
10497	24067	14536	10694	18138	939	9340	16874	6385	14612	3960	13466	9786	24692	11747	5359	26288	15850	28472	8462
14909	8906	19527	26642	18138	25398	13949	3143	503	18926	3174	30105	26909	32360	14192	2124	11730	4388	22258	13293
22717	8762	7276	28296	10250	22069	15633	28699	11536	3363	7298	16971	27953	4077	5341	30806	2562	10213	32758	9033
13484	21662	26084	22131	28819	5120	29888	20505	26933	28827	9641	6763	24404	19004	13067	14519	29015	3262	17441	13533
17134	18723	29113	8451	18421	25828	2104	24969	13979	21380	10973	21311	25795	3691	15434	8662	5290	16114	12352	25237
29898	20155	10922	18253	22271	21059	4061	32143	25321	442	27166	3612	18321	13330	18532	20637	12367	4182	31328	18325
235	26941	19899	30867	7426	30463	12447	5292	16043	25447	23928	1320	8283	23593	29692	12412	32262	8055	9065	2937
12679	14031	18957	19138	28226	21527	11788	18563	24584	1259	13150	29280	12603	12342	13079	21420	15410	4607	22507	4060
27614	10630	9201	24891	4014	19856	935	28639	9905	23295	4663	5339	26107	12709	29432	23990	32329	29530	25656	25628
25832	14668	28473	19924	9170	13207	22905	2290	29979	26390	15158	6222	11659	32120	24370	1076	14989	23446	20404	17245
14151	29187	13519	12318	23819	31717	26598	24032	21230	8196	24688	25296	8374	10273	24057	27096	18682	17033	29545	8397
20100	490	22409	22250	10490	3940	7875	24445	27838	17123	16938	3296	10770	5549	6074	22443	18304	9015	8160	1576
23417	11325	19517	26631	18748	20497	9127	31315	9465	28724	26480	1957	9014	29219	7659	6296	6003	21363	9773	18556
17929	17440	14609	21071	3416	15139	31615	27113	10785	14658	1517	13686	6961	11820	1317	31529	26688	13253	22601	22319
20504	5055	20501	3554	8698	19306	29541	20032	17981	461	27895	30875	14904	9205	1649	15761	866	7053	21670	10559
23992	21423	30997	28338	10591	32762	7346	1950	23435	23013	2026	31827	30367	18514	31713	26604	19862	9575	12542	3274
5793	5785	7849	3393	4369	11017	28755	7312	17016	13332	19383	15383	3851	3109	19552	22724	12619	16334	22636	23759
21733	19736	12943	2471	22742	27927	27995	11820	31954	7105	9150	3358	32231	20992	6860	2005	26206	9733	12478	24883
5346	17888	15675	11480	16100	77	18135	16020	29245	20433	12762	11810	23061	7174	19522	17171	19204	9523	23307	23816
23160	20000	3245	11300	1367	14377	29927	19905	10725	26000	30139	8546	22759	22040	14778	27113	16905	20943	9089	3851
16253	22059	22148	4864	17637	22872	15626	4223	13683	22481	12153	21737	25934	24622	8404	27333	19000	4412	29826	10348
8047	15955	24913	5893	208	11748	1466	17844	16706	9810	4455	23823	82	15619	10226	1746	17179	7094	24816	32211
5225	12311	2350	23096	28702	31120	2362	28135	32212	26979	5413	17726	24259	2294	2440	8197	4837	23149	6597	30368
14681	10110	13199	24457	12294	12929	15277	26878	22144	32199	2042	15095	30767	7469	15025	5467	8622	17905	25319	32371
25969	4292	1625	13727	21419	8736	30824	15944	10606	11483	8802	5909	31508	765	8451	29026	24031	10447	23356	31982
21724	7732	30258	7123	1293	21052	19082	4796	29894	29943	16100	2386	23128	7047	11173	28407	15853	27257	11258	6071
29363	14934	26	9595	11069	27252	25803	4480	11558	22034	1063	27144	26615	8100	25504	6224	29514	18028	29506	17089
14384	14922	8760	8042	18897	25045	7314	19118	12626	18090	5701	30266	12540	23557	18291	1083	17050	5006	32237	25293
21794	13429	26615	15286	3480	10432	31819	19540	3888	13540	9056	31188	3763	19859	1515	30117	13603	32726	9383	1580
5538	8027	7505	18362	14992	12048	16631	31163	3572	14321	24435	11312	8477	541	27699	24927	6025	25648	24635	30664
14597	7373	32108	28764	28438	27258	22278	25834	12696	21937	17260	17114	9893	24883	6951	7709	31160	5280	26926	12388
11794	5445	28772	22672	28765	16693	10851	11882	11152	155	9080	32405	25874	16718	22510	17089	9250	20646	30352	27168
26742	1935	11369	1566	29730	31963	24014	12109	27836	12765	28831	13982	6078	27955	3017	30423	13867	14307	28687	23105
17270	12458	19979	26785	7071	10640	15727	29034	19615	17344	14737	9777	5894	32151	18215	14689	25059	26363	10062	21808
9700	28654	15314	32466	5054	1378	169	14828	31183	28751	16064	75	11522	11012	23547	25046	30964	8379	27767	24769
23381	2927	26898	24068	3728	25586	12077	10764	10158	6202	11696	3504	19319	31739	25423	24422	16091	10108	4620	30903
22161	14499	19453	8176	2558	10833	15696	14875	11608	13814	22412	22829	5899	29532	16921	31361	13404	10951	13315	2437
20812	3392	6907	31412	6079	18222	13215	4804	2525	8486	30459	11808	31673	8964	335	7320	20528	27963	22034	25943
32021	15465	9528	1814	6795	19247	30129	2192	433	1599	22834	27958	16005	18102	3383	25123	22786	1709	11593	14162
14732	17418	23164	30991	11406	1436	31805	15787	18786	13928	32330	31604	16497	19261	12290	31460	21659	26255	10463	14617
985	28290	22081	20101	8992	18756	5741	11751	29065	13216	1237	20346	26288	26064	23450	7276	16473	31379	3663	11921
4954	19584	512	14425	25525	15770	1650	10496	2052	7460	29869	24836	23578	8119	5816	2780	1767	7569	15524	27623
22428	2864	8907	16803	32272	24608	3418	32543	8802	24593	15629	32435	8161	31276	8506	31726	26408	12967	27409	27088
19341	19095	26146	31033	16317	6662	14880	25506	17824	20550	31204	19979	5507	3716	9140	22580	16501	4256	30406	11280
20977	22589	16896	8567	13502	3604	4098	18971	24340	3469	21606	31165	2560	20112	32326	7841	30729	8600	5119	32319
3860	29194	15413	10811	18821	710	22552	16791	17063	22779	4837	21032	25166	18751	2735	28230	27579	23263	30303	19144
29631	30067	27898	31024	548	3254	12834	4642	25160	16021	11232	25627	26379	6022	26016	31327	9707	28955	17533	4147
28014	7895	20671	17485	31425	23872	14498	8329	12958	14133	28762	18909	24946	21890	4947	27791	18112	27826	27325	14501
28608	15653	15688	670	9549	22882	19500	23647	28926	9901	8557	14960	32146	19421	4957	31080	22161	616	8546	22438
19248	32192	3577	14146	30837	23778	23035	15427	16029	23083	1312	6931	9659	11630	14273	11056	30113	21573	14818	4643
1283	13476	23407	6838	986	19892	12742	3170	17671	27358	20086	5895	19257	3365	21318	9952	7440	32442	1914	13493
9347	17610	21073	26194	7551	25499	16082	4921	22480	10455	27848	404	20549	28712	4876	28525	25871	5636	30466	15393
10603	3275	32102	17938	7297	18447	14409	20637	18315	29234	5718	1612	1849	8247	5978	27468	1108	30674	10756	21537
8099	31681	5865	13464	21771	29279	7370	23293	23033	6775	8730	27535	31493	8790	8123	12337	31951	5412	10505	4194
1069	12916	13593	17775	18825	25625	3394	7911	7044	17979	1245	27472	29919	30123	24138	22808	10652	6260	308	25551
28512	21683	26133	8595	17692	10664	23292	1227	32236	24332	1422	26136	29504	32421	17994	27272	8761	3097	24850	6669
14422	28416	3815	14894	21327	17212	23797	16637	30785	909	31951	29769	1548	16992	27131	2324	9977	25832	2225	22343
1441	5232	8672	30117	18698	23024	24690	20990	7186	6110	13265	6565	17425	22086	15274	1572	2746	5405	8433	25133
32578	6355	37	23252	21189	25895	18645	28924	21477	23103	13923	7951	19892	10232	17928	1779	19924	2939	19992	15417
5596	2833	6791	32407	15358	9272	12973	30872	16103	8182	11334	22162	4327	365	12221	18905	24146	17072	4522	19506
4902	21461	9625	14218	25581	4171	11789	1512	24037	7790	3524	19873	16991	27993	7741	19915	12645	17659	20344	7923
26527	7278	29949	23571	4984	10883	25631	22462	1404	25762	18306	12702	16388	24529	19419	24608	10774	18450	2551	622
27015	25074	20991	3742	10338	19039	15354	12328	18830	26810	8595	27294	20650	18221	25884	21655	316	17727	10708	32493
30987	22693	24933	23592	18889	20571	21169	15417	22005	19956	32206	12396	29952	26927	335	27544	8879	12746	25798	29336
15808	923	27783	12543	6608	24796	23214	17928	26748	18119	16739	7628	15815	12387	19036	10936	13243	15261	6052	21309
29012	9370	8603	26569	6297	2892	13887	13559	24588	14147	32169	1539	23364	19910	10202	11136	14041	11811	10168	23117
27520	26691	8020	30405	11383	385	24942	8246	5412	31676	11323	4244	23033	21163	358	9327	154	25457	16212	7971
25410	29298	24492	32591	867	17252	32535	30600	28556	30633	4676	24398	16528	9948	27696	12350	29157	26026	31140	25482
6474	12003	22015	17319	16812	25296	7477	1605	27979	20680	7960	17028	793	32510	22486	5989	11106	9373	20931	5758
24498	2583	21593	18163	12788	17337	1149	21665	3799	31364	23044	16284	32630	14136	3702	8156	11831	25521	26898	20787
13043	30326	3090	7042	27224	31888	10032	11053	23692	30104	13160	28108	30483	13844	7168	10020	7667	17412	30918	21077
22550	25015	15769	9044	6895	15075	810	15516	31073	26613	19716	27937	14812	15270	28874	2694	6089	3791	704	15247
13352	32382	27533	18137	31095	20553	2880	14793	30422	28898	3472	31682	30314	16620	21352	8603	21247	9229	5539	5456
20721	1605	9492	26103	32332	19326	27593	21494	24114	23908	5008	28020	25469	19318	30139	20237	32422	12637	14369	23754
17126	22397	15205	1872	26266	16843	15995	29015	8940	8414	23399	2398	14000	22856	16712	27549	4236	5414	20374	8252
25692	5110	30376	2498	12244	11433	377	6096	29287	13817	11435	4623	7272	18685	11980	3943	31088	4603	5593	28018
6655	9085	7680	23600	102	32679	26026	20988	5348	19399	8889	31678	9487	25134	15630	32099	29301	13887	29263	5770
5252	16069	26343	32640	12711	23178	18510	4719	21426	25381	25738	5330	23424	25107	23286	13612	22490	7177	19010	4346
17307	26249	8123	22246	28434	31668	27596	22845	6312	16479	24517	9379	30915	12392	22748	28422	17642	25930	7282	29392
28201	27376	10647	2657	7863	22215	17359	8124	15062	21783	6934	17536	26875	8339	13603	1563	25903	6191	31722	21050
9141	26417	5476	32643	1773	29579	26770	20103	11384	1640	29632	30450	5533	25349	22535	5381	12011	16322	15893	2887
31520	21881	30769	11383	25930	30990	1401	16836	32300	29511	23150	16705	10467	2782	4787	18579	31434	29909	28690	12268
21146	7946	19136	18750	27350	2315	22242	8104	27494	7979	25423	19253	16001	19414	30104	11461	11473	13089	26438	9803
1234	19621	26722	9017	20860	20366	2875	1337	25633	9455	15715	18718	13720	21593	20987	30746	25243	7851	304	14641
18286	15147	262	5869	32449	27350	6997	19796	18392	22005	25872	13335	6121	26609	31437	6412	23238	7528	26242	7902
9915	30848	4749	29700	26554	3964	28152	30191	17845	27021	9722	5256	19020	7658	6337	2521	2472	26914	25966	14858
21159	11441	15714	20368	10809	3282	23224	26529	5642	8341	16402	25323	31329	26673	9625	11909	3912	32155	14143	6438
